Category: All categories

Week,vegan: (Worldwide)
2014-06-01,31
2014-06-08,31
2014-06-15,31
2014-06-22,32
2014-06-29,32
2014-07-06,32
2014-07-13,33
2014-07-20,34
2014-07-27,34
2014-08-03,34
2014-08-10,33
2014-08-17,33
2014-08-24,32
2014-08-31,33
2014-09-07,32
2014-09-14,32
2014-09-21,32
2014-09-28,33
2014-10-05,34
2014-10-12,33
2014-10-19,33
2014-10-26,34
2014-11-02,34
2014-11-09,34
2014-11-16,35
2014-11-23,37
2014-11-30,33
2014-12-07,33
2014-12-14,35
2014-12-21,38
2014-12-28,39
2015-01-04,38
2015-01-11,36
2015-01-18,36
2015-01-25,36
2015-02-01,36
2015-02-08,36
2015-02-15,37
2015-02-22,37
2015-03-01,37
2015-03-08,36
2015-03-15,35
2015-03-22,36
2015-03-29,40
2015-04-05,36
2015-04-12,36
2015-04-19,35
2015-04-26,36
2015-05-03,37
2015-05-10,37
2015-05-17,36
2015-05-24,36
2015-05-31,37
2015-06-07,41
2015-06-14,39
2015-06-21,38
2015-06-28,37
2015-07-05,38
2015-07-12,39
2015-07-19,39
2015-07-26,41
2015-08-02,40
2015-08-09,40
2015-08-16,40
2015-08-23,40
2015-08-30,39
2015-09-06,40
2015-09-13,39
2015-09-20,41
2015-09-27,41
2015-10-04,42
2015-10-11,43
2015-10-18,42
2015-10-25,45
2015-11-01,47
2015-11-08,45
2015-11-15,46
2015-11-22,48
2015-11-29,43
2015-12-06,45
2015-12-13,48
2015-12-20,54
2015-12-27,52
2016-01-03,52
2016-01-10,49
2016-01-17,51
2016-01-24,50
2016-01-31,52
2016-02-07,54
2016-02-14,52
2016-02-21,53
2016-02-28,54
2016-03-06,54
2016-03-13,54
2016-03-20,58
2016-03-27,53
2016-04-03,55
2016-04-10,54
2016-04-17,56
2016-04-24,55
2016-05-01,56
2016-05-08,54
2016-05-15,57
2016-05-22,58
2016-05-29,58
2016-06-05,58
2016-06-12,56
2016-06-19,55
2016-06-26,54
2016-07-03,55
2016-07-10,53
2016-07-17,53
2016-07-24,55
2016-07-31,54
2016-08-07,54
2016-08-14,52
2016-08-21,53
2016-08-28,52
2016-09-04,53
2016-09-11,54
2016-09-18,51
2016-09-25,53
2016-10-02,53
2016-10-09,53
2016-10-16,53
2016-10-23,59
2016-10-30,65
2016-11-06,60
2016-11-13,64
2016-11-20,69
2016-11-27,66
2016-12-04,64
2016-12-11,63
2016-12-18,76
2016-12-25,100
2017-01-01,66
2017-01-08,60
2017-01-15,60
2017-01-22,58
2017-01-29,57
2017-02-05,57
2017-02-12,58
2017-02-19,59
2017-02-26,62
2017-03-05,60
2017-03-12,59
2017-03-19,60
2017-03-26,61
2017-04-02,60
2017-04-09,63
2017-04-16,57
2017-04-23,55
2017-04-30,57
2017-05-07,58
2017-05-14,56
2017-05-21,56
2017-05-28,58
2017-06-04,56
2017-06-11,57
2017-06-18,62
2017-06-25,69
2017-07-02,75
2017-07-09,82
2017-07-16,86
2017-07-23,88
2017-07-30,89
2017-08-06,90
2017-08-13,86
2017-08-20,83
2017-08-27,80
2017-09-03,80
2017-09-10,76
2017-09-17,77
2017-09-24,74
2017-10-01,78
2017-10-08,78
2017-10-15,76
2017-10-22,76
2017-10-29,78
2017-11-05,76
2017-11-12,81
2017-11-19,86
2017-11-26,75
2017-12-03,77
2017-12-10,78
2017-12-17,89
2017-12-24,86
2017-12-31,95
2018-01-07,89
2018-01-14,87
2018-01-21,85
2018-01-28,86
2018-02-04,83
2018-02-11,86
2018-02-18,82
2018-02-25,80
2018-03-04,80
2018-03-11,78
2018-03-18,80
2018-03-25,89
2018-04-01,82
2018-04-08,77
2018-04-15,78
2018-04-22,82
2018-04-29,81
2018-05-06,75
2018-05-13,73
2018-05-20,73
2018-05-27,75
2018-06-03,76
2018-06-10,76
2018-06-17,72
2018-06-24,73
2018-07-01,73
2018-07-08,75
2018-07-15,76
2018-07-22,75
2018-07-29,77
2018-08-05,77
2018-08-12,76
2018-08-19,74
2018-08-26,74
2018-09-02,74
2018-09-09,71
2018-09-16,73
2018-09-23,71
2018-09-30,73
2018-10-07,79
2018-10-14,78
2018-10-21,74
2018-10-28,79
2018-11-04,78
2018-11-11,79
2018-11-18,87
2018-11-25,75
2018-12-02,77
2018-12-09,79
2018-12-16,87
2018-12-23,87
2018-12-30,100
2019-01-06,91
2019-01-13,85
2019-01-20,83
2019-01-27,84
2019-02-03,82
2019-02-10,79
2019-02-17,78
2019-02-24,76
2019-03-03,79
2019-03-10,77
2019-03-17,81
2019-03-24,78
2019-03-31,78
2019-04-07,83
2019-04-14,85
2019-04-21,79
2019-04-28,77
2019-05-05,77
2019-05-12,75
2019-05-19,74
2019-05-26,86
